0.3000000000,0.1000000000
0.2882513386,-0.5718657927
0.2566232920,-0.6984230334
0.2232273951,-0.6428686157
0.1929724922,-0.5722701356
0.1663461425,-0.4971337072
0.1435065769,-0.4201801382
0.1239600523,-0.3648740911
0.1071130128,-0.3117597316
0.0925787421,-0.2719855095
0.0801270273,-0.2281172742
0.0692625295,-0.2082375349
0.0596403101,-0.1782231873
0.0511247453,-0.1637905619
0.0439040003,-0.1262188677
0.0380034583,-0.1107667634
0.0328895591,-0.0946246437
0.0283848770,-0.0862985543
0.0242837726,-0.0784156057
0.0210341886,-0.0520986272
0.0183964818,-0.0538405551
0.0158365715,-0.0489740617
0.0136768856,-0.0377661947
0.0118279793,-0.0364921081
0.0099289504,-0.0397792853
0.0082510984,-0.0276088971
0.0070091461,-0.0222720884
0.0060408849,-0.0166165411
0.0052224059,-0.0162563321
0.0047722860,-0.0018219986
0.0044390382,-0.0115623539
0.0037658207,-0.0154763291
0.0030692203,-0.0125014871
0.0025433868,-0.0086177551
0.0020235270,-0.0122615657
0.0012622511,-0.0183138383
0.0005993690,-0.0083097368
0.0003612791,-0.0012527549
0.0001527723,-0.0071215826
-0.0001150768,-0.0036361370
-0.0000685434,0.0055050764
