0.2000000000,0.0000000000
0.1992855332,-0.1429167162
0.1976723352,-0.1797756349
0.1958324549,-0.1882605963
0.1939456378,-0.1891645231
0.1920598605,-0.1880525895
0.1901878321,-0.1864143064
0.1883328228,-0.1846482045
0.1864955781,-0.1828608093
0.1846761684,-0.1810806392
0.1828744848,-0.1793149902
0.1810903721,-0.1775658844
0.1793236633,-0.1758336362
0.1775741900,-0.1741182318
0.1758417844,-0.1724195478
0.1741262800,-0.1707374323
0.1724275119,-0.1690717267
0.1707453169,-0.1674222718
0.1690795334,-0.1657889092
0.1674300011,-0.1641714819
0.1657965616,-0.1625698342
0.1641790578,-0.1609838120
0.1625773343,-0.1594132630
0.1609912371,-0.1578580362
0.1594206138,-0.1563179819
0.1578653134,-0.1547929523
0.1563251865,-0.1532828007
0.1548000849,-0.1517873820
0.1532898622,-0.1503065524
0.1517943730,-0.1488401697
0.1503134739,-0.1473880928
0.1488470222,-0.1459501823
0.1473948772,-0.1445262998
0.1459568993,-0.1431163086
0.1445329502,-0.1417200732
0.1431228931,-0.1403374592
0.1417265924,-0.1389683340
0.1403439140,-0.1376125658
0.1389747249,-0.1362700243
0.1376188935,-0.1349405805
0.1362762896,-0.1336241067
0.1349467840,-0.1323204764
0.1336302491,-0.1310295641
0.1323265582,-0.1297512459
0.1310355860,-0.1284853988
0.1297572087,-0.1272318639
0.1284913035,-0.1259905822
0.1272377483,-0.1247614354
0.1259964226,-0.1235443014
0.1247672072,-0.1223389637
0.1235499843,-0.1211454290
0.1223446366,-0.1199635273
0.1211510482,-0.1187931831
0.1199691041,-0.1176342849
0.1187986909,-0.1164866163
0.1176396965,-0.1153501626
0.1164920092,-0.1142248296
0.1153555185,-0.1131104738
0.1142301153,-0.1120069524
0.1131156916,-0.1109142266
0.1120121403,-0.1098321376
0.1109193554,-0.1087605571
0.1098372318,-0.1076995584
0.1087656646,-0.1066489246
0.1077045512,-0.1056084528
0.1066537897,-0.1045781979
0.1056132789,-0.1035579943
0.1045829193,-0.1025476129
0.1035626125,-0.1015471018
0.1025522602,-0.1005564030
0.1015517647,-0.0995754050
0.1005610302,-0.0986038958
0.0995799616,-0.0976419093
0.0986084643,-0.0966893210
0.0976464448,-0.0957460291
0.0966938107,-0.0948119329
0.0957504705,-0.0938869683
0.0948163333,-0.0929710120
0.0938913095,-0.0920639987
0.0929753101,-0.0911658362
0.0920682471,-0.0902764165
0.0911700334,-0.0893956819
0.0902805828,-0.0885235413
0.0893998095,-0.0876599095
0.0885276290,-0.0868047034
0.0876639575,-0.0859578407
0.0868087119,-0.0851192401
0.0859618101,-0.0842888211
0.0851231706,-0.0834665038
0.0842927128,-0.0826522091
0.0834703569,-0.0818458588
0.0826560239,-0.0810473752
0.0818496354,-0.0802566816
0.0810511141,-0.0794737019
0.0802603830,-0.0786983609
0.0794773663,-0.0779305841
0.0787019887,-0.0771702976
0.0779341756,-0.0764174284
0.0771738532,-0.0756719041
0.0764209486,-0.0749336530
0.0756753892,-0.0742026043
0.0749371034,-0.0734786876
0.0742060203,-0.0727618333
0.0734820697,-0.0720519726
0.0727651818,-0.0713490372
0.0720552879,-0.0706529596
0.0713523197,-0.0699636729
0.0706562096,-0.0692811108
0.0699668907,-0.0686052076
0.0692842967,-0.0679358986
0.0686083622,-0.0672731192
0.0679390220,-0.0666168059
0.0672762118,-0.0659668956
0.0666198680,-0.0653233257
0.0659699275,-0.0646860344
0.0653263277,-0.0640549605
0.0646890070,-0.0634300237
0.0640579041,-0.0628112006
