0.3000000000,0.0000000000,0.2000000000,0.0000000000
0.3001393074,0.0278606960,0.1995252629,-0.0949303419
0.3005571829,0.0557120810,0.1981020760,-0.1896558420
0.3012534870,0.0835448641,0.1957335103,-0.2839721005
0.3022279873,0.1113497945,0.1924246767,-0.3776756006
0.3034803594,0.1391176816,0.1881827150,-0.4705641478
0.3050101871,0.1668394147,0.1830167786,-0.5624373061
0.3068169638,0.1945059826,0.1769380146,-0.6530968305
0.3089000932,0.2221084933,0.1699595399,-0.7423470948
0.3112588909,0.2496381927,0.1620964126,-0.8299955137
0.3138925857,0.2770864843,0.1533655999,-0.9158529584
0.3168003211,0.3044449468,0.1437859414,-0.9997341648
0.3199811577,0.3317053531,0.1333781079,-1.0814581329
0.3234340746,0.3588596874,0.1221645579,-1.1608485178
0.3271579719,0.3859001629,0.1101694878,-1.2377340100
0.3311516732,0.4128192386,0.0974187810,-1.3119487050
0.3354139277,0.4396096352,0.0839399509,-1.3833324616
0.3399434136,0.4662643514,0.0697620823,-1.4517312469
0.3447387401,0.4927766783,0.0549157686,-1.5169974693
0.3497984511,0.5191402145,0.0394330451,-1.5789902966
0.3551210281,0.5453488796,0.0233473207,-1.6375759598
0.3607048933,0.5713969274,0.0066933053,-1.6926280422
0.3665484132,0.5972789583,-0.0104930647,-1.7440277517
0.3726499022,0.6229899308,-0.0281747045,-1.7916641774
0.3790076260,0.6485251727,-0.0463134604,-1.8354345288
0.3856198056,0.6738803908,-0.0648701924,-1.8752443579
0.3924846207,0.6990516805,-0.0838048585,-1.9110077624
0.3996002143,0.7240355341,-0.1030766014,-1.9426475716
0.4069646962,0.7488288483,-0.1226438361,-1.9700955128
0.4145761472,0.7734289308,-0.1424643403,-1.9932923586
0.4224326231,0.7978335065,-0.1624953450,-2.0121880544
0.4305321594,0.8220407220,-0.1826936272,-2.0267418270
0.4388727749,0.8460491500,-0.2030156028,-2.0369222719
0.4474524764,0.8698577918,-0.2234174206,-2.0427074218
0.4562692628,0.8934660800,-0.2438550576,-2.0440847934
0.4653211296,0.9168738796,-0.2642844130,-2.0410514145
0.4746060731,0.9400814880,-0.2846614041,-2.0336138307
0.4841220945,0.9630896348,-0.3049420613,-2.0217880907
0.4938672047,0.9858994799,-0.3250826228,-2.0055997125
0.5038394283,1.0085126110,-0.3450396289,-1.9850836273
0.5140368079,1.0309310404,-0.3647700162,-1.9602841051
0.5244574082,1.0531572006,-0.3842312102,-1.9312546586
0.5350993204,1.0751939387,-0.4033812174,-1.8980579279
0.5459606663,1.0970445108,-0.4221787156,-1.8607655452
0.5570396022,1.1187125747,-0.4405831434,-1.8194579805
0.5683343229,1.1402021818,-0.4585547874,-1.7742243678
0.5798430658,1.1615177688,-0.4760548683,-1.7251623127
0.5915641142,1.1826641479,-0.4930456242,-1.6723776818
0.6034958019,1.2036464961,-0.5094903922,-1.6159843745
0.6156365158,1.2244703449,-0.5253536876,-1.5561040770
0.6279847000,1.2451415673,-0.5406012803,-1.4928659996
0.6405388590,1.2656663658,-0.5552002690,-1.4264065982
0.6532975609,1.2860512590,-0.5691191518,-1.3568692797
0.6662594406,1.3063030673,-0.5823278944,-1.2844040926
0.6794232023,1.3264288982,-0.5947979947,-1.2091674031
0.6927876232,1.3464361312,-0.6065025446,-1.1313215578
0.7063515551,1.3663324014,-0.6174162880,-1.0510345333
0.7201139275,1.3861255837,-0.6275156750,-0.9684795741
0.7340737501,1.4058237752,-0.6367789130,-0.8838348182
0.7482301141,1.4254352782,-0.6451860137,-0.7972829130
0.7625821950,1.4449685817,-0.6527188362,-0.7090106213
0.7771292539,1.4644323438,-0.6593611261,-0.6192084180
0.7918706394,1.4838353725,-0.6650985505,-0.5280700795
0.8068057887,1.5031866068,-0.6699187291,-0.4357922650
0.8219342290,1.5224950976,-0.6738112610,-0.3425740928
0.8372555786,1.5417699879,-0.6767677468,-0.2486167102
0.8527695475,1.5610204933,-0.6787818069,-0.1541228595
0.8684759381,1.5802558820,-0.6798490953,-0.0592964407
0.8843746457,1.5994854547,-0.6799673091,0.0356579287
0.9004656588,1.6187185249,-0.6791361932,0.1305353550
0.9167490589,1.6379643982,-0.6773575410,0.2251311106
0.9332250204,1.6572323530,-0.6746351904,0.3192410755
0.9498938104,1.6765316197,-0.6709750159,0.4126621783
0.9667557877,1.6958713612,-0.6663849152,0.5051928338
0.9838114028,1.7152606533,-0.6608747932,0.5966333781
1.0010611959,1.7347084645,-0.6544565394,0.6867864999
1.0185057966,1.7542236375,-0.6471440034,0.7754576656
1.0361459222,1.7738148691,-0.6389529641,0.8624555395
1.0539823760,1.7934906924,-0.6299010964,0.9475923966
1.0720160459,1.8132594578,-0.6200079324,1.0306845276
1.0902479021,1.8331293151,-0.6092948198,1.1115526353
1.1086789956,1.8531081962,-0.5977848754,1.1900222215
1.1273104552,1.8732037974,-0.5855029355,1.2659239637
1.1461434855,1.8934235635,-0.5724755022,1.3390940800
1.1651793643,1.9137746710,-0.5587306863,1.4093746833
1.1844194397,1.9342640134,-0.5442981465,1.4766141211
1.2038651273,1.9548981855,-0.5292090255,1.5406673035
1.2235179071,1.9756834700,-0.5134958828,1.6013960156
1.2433793203,1.9966258231,-0.4971926244,1.6586692164
1.2634509659,2.0177308624,-0.4803344296,1.7123633211
1.2837344975,2.0390038544,-0.4629576753,1.7623624678
1.3042316193,2.0604497030,-0.4450998573,1.8085587679
1.3249440829,2.0820729393,-0.4267995094,1.8508525384
1.3458736832,2.1038777116,-0.4080961201,1.8891525173
1.3670222548,2.1258677764,-0.3890300481,1.9233760605
1.3883916676,2.1480464905,-0.3696424342,1.9534493200
1.4099838233,2.1704168036,-0.3499751133,1.9793074033
1.4318006508,2.1929812517,-0.3300705237,2.0008945136
1.4538441025,2.2157419523,-0.3099716159,2.0181640700
1.4761161498,2.2387005992,-0.2897217595,2.0310788080
1.4986187786,2.2618584591,-0.2693646498,2.0396108600
1.5213539858,2.2852163688,-0.2489442136,2.0437418155
1.5443237742,2.3087747336,-0.2285045145,2.0434627606
1.5675301486,2.3325335260,-0.2080896575,2.0387742975
1.5909751114,2.3564922861,-0.1877436939,2.0296865430
1.6146606580,2.3806501228,-0.1675105266,2.0162191067
1.6385887730,2.4050057149,-0.1474338149,1.9984010490
1.6627614257,2.4295573150,-0.1275568806,1.9762708177
1.6871805655,2.4543027523,-0.1079226143,1.9498761658
1.7118481183,2.4792394381,-0.0885733832,1.9192740479
1.7367659818,2.5043643708,-0.0695509391,1.8845304978
1.7619360219,2.5296741427,-0.0508963291,1.8457204853
1.7873600682,2.5551649473,-0.0326498061,1.8029277552
1.8130399103,2.5808325872,-0.0148507428,1.7562446462
1.8389772941,2.6066724838,0.0024624537,1.7057718917
1.8651739177,2.6326796864,0.0192524250,1.6516184023
1.8916314279,2.6588488837,0.0354829413,1.5939010311
1.9183514165,2.6851744146,0.0511189803,1.5327443214
1.9453354173,2.7116502807,0.0661268024,1.4682802377
1.9725849022,2.7382701591,0.0804740234,1.4006478815
2.0001012785,2.7650274164,0.0941296848,1.3299931907
2.0278858854,2.7919151226,0.1070643203,1.2564686248
2.0559399917,2.8189260661,0.1192500193,1.1802328359
2.0842647926,2.8460527697,0.1306604873,1.1014503267
2.1128614073,2.8732875062,0.1412711028,1.0202910948
2.1417308764,2.9006223151,0.1510589701,0.9369302667
2.1708741599,2.9280490205,0.1600029686,0.8515477193
2.2002921352,2.9555592476,0.1680837991,0.7643276922
2.2299855948,2.9831444418,0.1752840245,0.6754583897
2.2599552449,3.0107958865,0.1815881081,0.5851315750
2.2902017038,3.0385047223,0.1869824470,0.4935421565
2.3207255007,3.0662619659,0.1914554011,0.4008877669
2.3515270742,3.0940585296,0.1949973187,0.3073683368
2.3826067718,3.1218852406,0.1976005569,0.2131856638
2.4139648487,3.1497328614,0.1992594984,0.1185429761
2.4456014678,3.1775921091,0.1999705637,0.0236444951
2.4775166986,3.2054536760,0.1997322183,-0.0713050064
2.5097105180,3.2333082491,0.1985449765,-0.1661006450
2.5421828093,3.2611465307,0.1964114002,-0.2605378698
2.5749333634,3.2889592580,0.1933360932,-0.3544129027
2.6079618786,3.3167372238,0.1893256915,-0.4475231794
2.6412679616,3.3444712954,0.1843888487,-0.5396677852
2.6748511281,3.3721524351,0.1785362177,-0.6306478894
2.7087108041,3.3997717194,0.1717804273,-0.7202671742
2.7428463269,3.4273203582,0.1641360553,-0.8083322578
2.7772569469,3.4547897138,0.1556195967,-0.8946531126
2.8119418287,3.4821713198,0.1462494285,-0.9790434742
2.8469000532,3.5094568989,0.1360457697,-1.0613212442
2.8821306197,3.5366383811,0.1250306379,-1.1413088826
2.9176324477,3.5637079210,0.1132278017,-1.2188337911
2.9534043796,3.5906579148,0.1006627294,-1.2937286856
2.9894451830,3.6174810167,0.0873625341,-1.3658319570
3.0257535533,3.6441701545,0.0733559150,-1.4349880200
3.0623281169,3.6707185453,0.0586730959,-1.5010476488
3.0991674334,3.6971197099,0.0433457594,-1.5638682991
3.1362699997,3.7233674865,0.0274069792,-1.6233144158
3.1736342524,3.7494560447,0.0108911480,-1.6792577255
3.2112585716,3.7753798973,-0.0061660961,-1.7315775128
3.2491412842,3.8011339126,-0.0237279467,-1.7801608817
3.2872806678,3.8267133257,-0.0417565086,-1.8249029982
3.3256749540,3.8521137479,-0.0602128797,-1.8657073174
3.3643223327,3.8773311771,-0.0790572345,-1.9024857912
3.4032209555,3.9023620061,-0.0982489105,-1.9351590585
3.4423689401,3.9272030301,-0.1177464956,-1.9636566167
3.4817643741,3.9518514540,-0.1375079178,-1.9879169733
3.5214053192,3.9763048983,-0.1574905356,-2.0078877790
3.5612898155,4.0005614043,-0.1776512302,-2.0235259407
3.6014158857,4.0246194380,-0.1979464987,-2.0347977140
3.6417815390,4.0484778941,-0.2183325477,-2.0416787766
3.6823847760,4.0721360974,-0.2387653880,-2.0441542806
3.7232235926,4.0955938053,-0.2592009293,-2.0422188842
3.7642959844,4.1188512075,-0.2795950755,-2.0358767636
3.8055999510,4.1419089261,-0.2999038200,-2.0251416039
3.8471335007,4.1647680141,-0.3200833403,-2.0100365697
3.8888946541,4.1874299529,-0.3400900928,-1.9905942546
3.9308814489,4.2098966496,-0.3598809066,-1.9668566117
3.9730919440,4.2321704323,-0.3794130770,-1.9388748622
4.0155242236,4.2542540457,-0.3986444571,-1.9067093855
4.0581764015,4.2761506444,-0.4175335493,-1.8704295886
4.1010466250,4.2978637870,-0.4360395945,-1.8301137565
4.1441330789,4.3193974278,-0.4541226600,-1.7858488833
4.1874339896,4.3407559082,-0.4717437261,-1.7377304841
4.2309476289,4.3619439480,-0.4888647698,-1.6858623895
4.2746723173,4.3829666344,-0.5054488471,-1.6303565209
4.3186064285,4.4038294116,-0.5214601727,-1.5713326497
4.3627483918,4.4245380688,-0.5368641972,-1.5089181383
4.4070966965,4.4450987278,-0.5516276815,-1.4432476654
4.4516498945,4.4655178296,-0.5657187689,-1.3744629355
4.4964066037,4.4858021208,-0.5791070534,-1.3027123732
4.5413655109,4.5059586389,-0.5917636456,-1.2281508026
4.5865253749,4.5259946972,-0.6036612351,-1.1509391137
4.6318850286,4.5459178685,-0.6147741489,-1.0712439146
4.6774433820,4.5657359698,-0.6250784077,-0.9892371728
4.7231994245,4.5854570444,-0.6345517766,-0.9050958432
4.7691522270,4.6050893450,-0.6431738140,-0.8190014870
4.8153009436,4.6246413160,-0.6509259151,-0.7311398798
4.8616448142,4.6441215751,-0.6577913523,-0.6417006102
4.9081831653,4.6635388946,-0.6637553114,-0.5508766714
4.9549154120,4.6829021829,-0.6688049232,-0.4588640443
5.0018410590,4.7022204648,-0.6729292916,-0.3658612750
5.0489597017,4.7215028621,-0.6761195169,-0.2720690459
5.0962710272,4.7407585742,-0.6783687154,-0.1776897430
5.1437748151,4.7599968581,-0.6796720336,-0.0829270191
5.1914709373,4.7792270083,-0.6800266593,0.0120146458
5.2393593591,4.7984583369,-0.6794318272,0.1069303853
5.2874401390,4.8177001536,-0.6778888208,0.2016153892
5.3357134281,4.8369617451,-0.6754009696,0.2958653450
5.3841794706,4.8562523558,-0.6719736421,0.3894768790
5.4328386026,4.8755811673,-0.6676142336,0.4822479952
5.4816912516,4.8949572789,-0.6623321511,0.5739785110
