0.3000000000,0.1000000000
0.2847517013,-0.7124230093
0.2490637898,-0.7209236614
0.2155875072,-0.6235965417
0.1864521168,-0.5465788213
0.1608440817,-0.4819260791
0.1387019287,-0.4073773266
0.1197647342,-0.3532041564
0.1033888586,-0.3045061365
0.0893796401,-0.2581512413
0.0770792775,-0.2358727300
0.0662874191,-0.1975646356
0.0571143272,-0.1708576126
0.0491796849,-0.1478243364
0.0423859650,-0.1250343257
0.0366763940,-0.1042812654
0.0319101263,-0.0871480926
0.0276859066,-0.0825107892
0.0239117485,-0.0690721091
0.0206256922,-0.0629069737
0.0179287310,-0.0454120645
0.0156702869,-0.0452946539
0.0136073524,-0.0375597407
0.0117383775,-0.0375045830
0.0100023684,-0.0322193892
0.0085441076,-0.0263492729
0.0072195952,-0.0268476030
0.0059985486,-0.0221937414
0.0050809394,-0.0146605327
0.0041015022,-0.0246769630
0.0031505571,-0.0135161936
