0.3000000000,0.1000000000
0.2882289418,-0.5727653248
0.2565801570,-0.6983564181
0.2233730354,-0.6353533766
0.1934309441,-0.5672218085
0.1671835112,-0.4869634617
0.1444936059,-0.4243395198
0.1247806259,-0.3674001217
0.1079572869,-0.3082818070
0.0933619922,-0.2779143628
0.0806588044,-0.2322884229
0.0696830202,-0.2085360241
0.0599970237,-0.1804861999
0.0516866241,-0.1532874267
0.0446860661,-0.1278785502
0.0384914816,-0.1209168167
0.0328049419,-0.1074737620
0.0283146168,-0.0728728101
0.0248672366,-0.0655855846
0.0216036818,-0.0654897638
0.0186649353,-0.0525401889
0.0162483673,-0.0445173176
0.0142560431,-0.0355011260
0.0125981974,-0.0310835389
0.0110919191,-0.0294136696
0.0095690836,-0.0317485319
0.0081391089,-0.0256840639
0.0070748955,-0.0170583299
0.0061251761,-0.0210855978
0.0052624592,-0.0135640165
0.0046308696,-0.0118027511
